impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-124701,A604625,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073244,In Public Home,,Cat,,Male,Siamese,White / Brown,01/02/2020 12:00:00 AM,Date Found,6TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073244,Image Copyright HLP Inc. 2020,,
K19-124522,A603928,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2069254,LOST,Jango,Cat,,Male,Domestic Shorthair,Unknown,12/22/2019 12:00:00 AM,Date Lost,214TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2069254,Image Copyright HLP Inc. 2020,,
K20-124700,A604624,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2073213,LOST,Milly,Cat,,Female,Russian Blue,Unknown,12/31/2019 12:00:00 AM,Date Lost,PACIFIC HIWAY AND 260TH SHOPPING CENTER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2073213,Image Copyright HLP Inc. 2020,,
K19-124614,A604190,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2071105,LOST,Buddy,Cat,,Male,Domestic Shorthair,Unknown,12/30/2019 12:00:00 AM,Date Lost,F104,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2071105,Image Copyright HLP Inc. 2020,,
K20-125203,A606591,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606591,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Catlypso,Cat,1 YEAR,Female,Domestic Shorthair,White / Brn Tabby,01/31/2020 12:00:00 AM,Received on,7000 S 182ND ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606591,Image Copyright HLP Inc. 2020,"Received on: 2020-01-31<p/> Found Near: 7000 S 182ND ST, KENT WA 98032<p/> Description: White / Brn Tabby Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125011,A605939,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2079217,LOST,Chesa,Dog,,Female,Alaskan Husky,Unknown,01/20/2020 12:00:00 AM,Date Lost,NE 88TH & LATONA AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2079217,Image Copyright HLP Inc. 2020,,
K20-125234,A606640,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606640,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Lop-Holland,NO AGE,Male,Lop-Holland,Calico,02/02/2020 12:00:00 AM,Received on,21600 46TH PL S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606640,Image Copyright HLP Inc. 2020,"Received on: 2020-02-02<p/> Found Near: 21600 46TH PL S, KENT WA 98032<p/> Description: Calico Male Lop-Holland Lop-Holland<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125020,A605944,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Unaltered,Domestic Shorthair,Brn Tabby / White,01/21/2020 12:00:00 AM,Received on,400 W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605944,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 400 W CLOUDY ST, KENT WA 98032<p/> Description: Brn Tabby / White Unaltered Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K19-123486,A600637,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kuni,Cat,7 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,11/12/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A600637,Image Copyright HLP Inc. 2020,"Received on: 2019-11-12<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 7 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>I am currently in foster care working on my courage. I am still very shy. <p/>My fosters have noticed I do really well with any cat. I really need a home with a confident cat to help me with my courage.<p/>I would do best with a cat savvy family without children.<p/>I do my best on my foster mom's bed. There I love to be pet and purr. I can be a really snuggle buddy. <p/>I have started coming up to find out what you are eating, and steal if the food if I am allowed. <p/>I do run away from everyone, until I jump on the bed. <p/>I do OK with being held. But not a big fan of it (yet). <p/>I love toys and will chase the laser. I like to jump after high flying toys. (Sometimes I do backflips). <p/><p/> Please reach out my foster parent (Karen) at 253-381-6137. (they work so a text message would be the best), so you can come meet me.<p/>",BLUE
K20-125005,A605903,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Unaltered,Domestic Shorthair,Brn Tabby / White,01/21/2020 12:00:00 AM,Received on,400 W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605903,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 400 W CLOUDY ST, KENT WA 98032<p/> Description: Brn Tabby / White Unaltered Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-124669,A604449,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072612,LOST,Shilo,Dog,,Male,Siberian Husky,Unknown,01/03/2020 12:00:00 AM,Date Lost,KENT DES MOINES RD AND PACIFIC HWY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072612,Image Copyright HLP Inc. 2020,,
K20-124950,A605663,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Longhair,Black / White,01/18/2020 12:00:00 AM,Received on,30300 KENT-BLACK DIAMOND RD SE,KENT,WA,98042,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-18<p/> Found Near: 30300 KENT-BLACK DIAMOND RD SE, KENT WA 98042<p/> Description: Black / White Male Domestic Longhair Cat<p/> Age: NO AGE<p/>",
K20-125009,A605937,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Unaltered,Domestic Shorthair,Black / White,01/21/2020 12:00:00 AM,Received on,400 W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605937,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 400 W CLOUDY ST, KENT WA 98032<p/> Description: Black / White Unaltered Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K19-124613,A604189,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A604189,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Trap,Dog,1 YEAR 5 MONTHS,Male,Pit Bull / Akita,Black / White,12/30/2019 12:00:00 AM,Received on,5700 S 130TH PL,SEATTLE,WA,98178,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A604189,Image Copyright HLP Inc. 2020,"Received on: 2019-12-30<p/> Found Near: 5700 S 130TH PL, SEATTLE WA 98178<p/> Description: Black / White Male Pit Bull / Akita Dog<p/> Age: 1 YEAR 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K20-125074,A606107,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606107,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Brn Tabby,01/24/2020 12:00:00 AM,Received on,ROOSEVELT AVE,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606107,Image Copyright HLP Inc. 2020,"Received on: 2020-01-24<p/> Found Near: ROOSEVELT AVE, ENUMCLAW WA 98022<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-124882,A605361,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A605361,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Robyn,Cat,2 YEARS,Spayed Female,Domestic Shorthair,Calico / White,01/14/2020 12:00:00 AM,Received on,3100 HUNTER CT,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605361,Image Copyright HLP Inc. 2020,"Received on: 2020-01-14<p/> Found Near: 3100 HUNTER CT, ENUMCLAW WA 98022<p/> Description: Calico / White Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-125226,A606620,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2082653,LOST,Audrey My Jo,Dog,,Female,Standard Poodle,Unknown,01/29/2020 12:00:00 AM,Date Lost,00 LAKE BELLEVUE DR,BELLEVUE,WA,98005,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2082653,Image Copyright HLP Inc. 2020,,
K20-124971,A605714,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2078309,LOST,Pampushka,Cat,,Female,Domestic Mediumhair,Unknown,01/15/2020 12:00:00 AM,Date Lost,SW 327TH PLACE AND 51ST PL SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2078309,Image Copyright HLP Inc. 2020,,
K20-125006,A605904,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Unaltered,Domestic Shorthair,White / Black,01/21/2020 12:00:00 AM,Received on,400 W CLOUDY ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605904,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 400 W CLOUDY ST, KENT WA 98032<p/> Description: White / Black Unaltered Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-125152,A606364,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A606364,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Integra,Dog,2 YEARS,Spayed Female,Pit Bull / Mix,Tan,01/28/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606364,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Description: Tan<p/>  Spayed Female Pit Bull / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Integra and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on January 28, 2020.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs as long as they are not crazy and bouncing ones. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K20-125233,A606637,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606637,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Unaltered,Australian Cattle Dog / Mix,White / Black,02/02/2020 12:00:00 AM,Received on,9000 S 212TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606637,Image Copyright HLP Inc. 2020,"Received on: 2020-02-02<p/> Found Near: 9000 S 212TH ST, KENT WA 98031<p/> Description: White / Black Unaltered Australian Cattle Dog / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125082,A606117,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Male,Labrador Retriever / Mix,Black / White,01/25/2020 12:00:00 AM,Received on,12600 57TH AVE S,SEATTLE,WA,98178,KING COUNTY,47.489655,-122.260091,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-25<p/> Found Near: 12600 57TH AVE S, SEATTLE WA 98178<p/> Description: Black / White Male Labrador Retriever / Mix Dog<p/> Age: NO AGE<p/>",
K20-125172,A606476,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2081511,LOST,Chase,Cat,,Male,Norwegian Forest Cat,Unknown,01/28/2020 12:00:00 AM,Date Lost,SORENSON AND PORTER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2081511,Image Copyright HLP Inc. 2020,,
K20-124822,A605058,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,White,01/10/2020 12:00:00 AM,Received on,500 WASHINGTON AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-10<p/> Found Near: 500 WASHINGTON AVE S, KENT WA 98032<p/> Description: White Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K20-124686,A604512,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072825,LOST,Zeuz,Cat,,Male,Domestic Mediumhair,Unknown,12/31/2019 12:00:00 AM,Date Lost,CROSS STREET 198TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072825,Image Copyright HLP Inc. 2020,,
K20-125235,A606641,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606641,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,10 YEARS,Spayed Female,Boston Terrier / Chihuahua - Smooth Coated,Br Brindle / White,02/02/2020 12:00:00 AM,Received on,30800 50TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606641,Image Copyright HLP Inc. 2020,"Received on: 2020-02-02<p/> Found Near: 30800 50TH AVE S, AUBURN WA 98001<p/> Description: Br Brindle / White Spayed Female Boston Terrier / Chihuahua - Smooth Coated Dog<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-124764,A596417,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Ginger,Dead Dog,11 MONTHS,Spayed Female,Rottweiler / German Shepherd,Red / Tan,01/07/2020 12:00:00 AM,Received on,13700 SE LAKE YOUNGS RD,RENTON,WA,98058,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-07<p/> Found Near: 13700 SE LAKE YOUNGS RD, RENTON WA 98058<p/> Description: Red / Tan Spayed Female Rottweiler / German Shepherd Dog<p/> Age: 11 MONTHS<p/>",BLUE
K20-124961,A603897,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A603897,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jasmine,Dog,6 YEARS 1 MONTH,Spayed Female,German Shepherd,Sable,01/18/2020 12:00:00 AM,Received on,11000 SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A603897,Image Copyright HLP Inc. 2020,"Received on: 2020-01-18<p/> Found Near: 11000 SE KENT KANGLEY RD, KENT WA 98030<p/> Description: Sable Spayed Female German Shepherd Dog<p/> Age: 6 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
